timestamp,transaction_id,model_decision,auditor_decision,confirmed_label,notes,reviewed_by,reviewed_at
2026-06-12T11:56:40.527972Z,TX-TEST-1781265400,BLOCK,CONFIRMED,fraud,Test feedback loop notes.,Test Tester,2026-06-12T11:56:40Z
2026-06-12T11:57:04.095469Z,TX-TEST-1781265424,BLOCK,CONFIRMED,fraud,Test feedback loop notes.,Test Tester,2026-06-12T11:57:04Z
2026-06-12T11:58:04.530217Z,TX-TEST-1781265484,BLOCK,CONFIRMED,fraud,Test feedback loop notes.,Test Tester,2026-06-12T11:58:04Z
2026-06-12T12:13:03.407254Z,TX-TEST-1781266383,BLOCK,CONFIRMED,fraud,Test feedback loop notes.,Test Tester,2026-06-12T12:13:03Z
2026-06-12T12:21:39.687696Z,TX-TEST-1781266899,BLOCK,CONFIRMED,fraud,Test feedback loop notes.,Test Tester,2026-06-12T12:21:39Z
2026-06-12T12:34:21.050014Z,TX-TEST-1781267661,BLOCK,CONFIRMED,fraud,Test feedback loop notes.,Test Tester,2026-06-12T12:34:21Z
2026-06-12T13:26:32.737179Z,TX-TEST-1781270792,BLOCK,CONFIRMED,fraud,Test feedback loop notes.,Test Tester,2026-06-12T13:26:32Z
2026-06-12T14:23:55.161990Z,TX-TEST-1781274235,BLOCK,CONFIRMED,fraud,Test feedback loop notes.,Test Tester,2026-06-12T14:23:55Z
2026-06-15T08:01:21.249070Z,TX-TEST-1781510481,BLOCK,CONFIRMED,fraud,Test feedback loop notes.,Test Tester,2026-06-15T08:01:21Z
2026-06-16T07:56:13.057440Z,TX-TEST-1781596573,BLOCK,CONFIRMED,fraud,Test feedback loop notes.,Test Tester,2026-06-16T07:56:13Z
2026-06-16T09:07:28.113052Z,TX-TEST-1781600848,BLOCK,CONFIRMED,fraud,Test feedback loop notes.,Test Tester,2026-06-16T09:07:28Z
2026-06-16T09:48:51.522046Z,TX-TEST-1781603331,BLOCK,CONFIRMED,fraud,Test feedback loop notes.,Test Tester,2026-06-16T09:48:51Z
2026-06-17T07:00:44.949559Z,TX-TEST-1781679644,BLOCK,CONFIRMED,fraud,Test feedback loop notes.,Test Tester,2026-06-17T07:00:44Z
2026-06-17T07:07:13.618640Z,TX-TEST-1781680033,BLOCK,CONFIRMED,fraud,Test feedback loop notes.,Test Tester,2026-06-17T07:07:13Z
2026-06-17T11:54:42.286823Z,TX-TEST-1781697282,BLOCK,CONFIRMED,fraud,Test feedback loop notes.,Test Tester,2026-06-17T11:54:42Z
2026-06-17T12:02:58.263770Z,TX-TEST-1781697778,BLOCK,CONFIRMED,fraud,Test feedback loop notes.,Test Tester,2026-06-17T12:02:58Z
2026-06-17T12:11:06.524327Z,TX-TEST-1781698266,BLOCK,CONFIRMED,fraud,Test feedback loop notes.,Test Tester,2026-06-17T12:11:06Z
2026-06-17T12:35:17.803767Z,TX-TEST-1781699717,BLOCK,CONFIRMED,fraud,Test feedback loop notes.,Test Tester,2026-06-17T12:35:17Z
2026-07-03T20:07:48.470735Z,TX-TEST-1783109268,BLOCK,CONFIRMED,fraud,Test feedback loop notes.,Test Tester,2026-07-03T20:07:48Z
